exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	variant	threshold	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision_iou50	segment_recall_iou50	segment_f1_iou50	mean_matched_iou	boundary_precision_100bp	boundary_recall_100bp	boundary_f1_100bp	median_boundary_error_bp	mean_pred_fragments_per_true_te	median_pred_fragments_per_true_te	split_true_te_rate	missed_true_te_rate	pred_short_fragment_rate	mean_pred_segment_len	chrom
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	235947	33933	4190	956778	0.8742663405958203	0.9825516267797132	0.9252515112241357	0.19509882617512478	0.21926346713810316	1230848	650	1640	380	1260	270	0.23170731707317074	0.5846153846153846	0.3318777292576419	0.8711302753193734	0.2	0.5046153846153846	0.28646288209606985	6.5	1.1507692307692308	1.0	0.0876923076923077	0.024615384615384615	0.7353658536585366	164.5609756097561	chr1
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	235947.0	33933.0	4190.0	956778.0	0.8742663405958203	0.9825516267797132	0.9252515112241356	0.19509882617512478	0.21926346713810316	1230848.0	650.0	1640.0	380.0	1260.0	270.0	0.23170731707317074	0.5846153846153846	0.3318777292576419	0.8711302753193734	0.2	0.5046153846153846	0.28646288209606985	6.5	1.1507692307692308	1.0	0.0876923076923077	0.024615384615384615	0.7353658536585366	164.5609756097561	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	235650	36404	4487	954307	0.8661883302579635	0.9813148327829531	0.9201645479908863	0.19509882617512478	0.22102972909733776	1230848	650	397	315	82	335	0.7934508816120907	0.4846153846153846	0.6017191977077363	0.8709310886877365	0.654911838790932	0.4	0.49665711556829034	8.0	0.9553846153846154	1.0	0.0	0.04461538461538461	0.0	685.2745591939547	chr1
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	235650.0	36404.0	4487.0	954307.0	0.8661883302579635	0.9813148327829532	0.9201645479908863	0.19509882617512478	0.22102972909733776	1230848.0	650.0	397.0	315.0	82.0	335.0	0.7934508816120907	0.4846153846153846	0.6017191977077363	0.8709310886877365	0.654911838790932	0.4	0.49665711556829034	8.0	0.9553846153846154	1.0	0.0	0.04461538461538461	0.0	685.2745591939547	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	234649	38696	5488	952015	0.8584353106879584	0.9771463789420206	0.9139521930661639	0.19509882617512478	0.22207859946963393	1230848	650	362	285	77	365	0.787292817679558	0.43846153846153846	0.5632411067193677	0.8692895393522504	0.6215469613259669	0.34615384615384615	0.44466403162055335	8.0	0.9353846153846154	1.0	0.0	0.06461538461538462	0.0	755.0966850828729	chr1
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	234649.0	38696.0	5488.0	952015.0	0.8584353106879584	0.9771463789420206	0.9139521930661639	0.19509882617512478	0.22207859946963393	1230848.0	650.0	362.0	285.0	77.0	365.0	0.787292817679558	0.43846153846153846	0.5632411067193677	0.8692895393522505	0.6215469613259669	0.34615384615384615	0.44466403162055335	8.0	0.9353846153846154	1.0	0.0	0.06461538461538462	0.0	755.0966850828729	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	235466	47042	4671	943669	0.833484361504807	0.980548603505499	0.9010552095590697	0.19509882617512478	0.22952306052412647	1230848	650	330	240	90	410	0.7272727272727273	0.36923076923076925	0.4897959183673469	0.8553697472789829	0.5363636363636364	0.2723076923076923	0.3612244897959183	10.0	0.9476923076923077	1.0	0.0	0.052307692307692305	0.0	856.0848484848485	chr1
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	235466.0	47042.0	4671.0	943669.0	0.833484361504807	0.9805486035054991	0.9010552095590697	0.19509882617512478	0.22952306052412647	1230848.0	650.0	330.0	240.0	90.0	410.0	0.7272727272727273	0.36923076923076925	0.48979591836734687	0.8553697472789829	0.5363636363636364	0.2723076923076923	0.3612244897959183	10.0	0.9476923076923077	1.0	0.0	0.052307692307692305	0.0	856.0848484848484	WEIGHTED_MEAN
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	233628	23027	6509	967684	0.9102803374179346	0.9728946393100605	0.9405465466432632	0.19509882617512478	0.20851884229409318	1230848	650	470	382	88	268	0.8127659574468085	0.5876923076923077	0.6821428571428572	0.8818349333551165	0.7127659574468085	0.5153846153846153	0.5982142857142856	6.0	0.9507692307692308	1.0	0.003076923076923077	0.052307692307692305	0.13829787234042554	546.0744680851063	chr1
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	233628.0	23027.0	6509.0	967684.0	0.9102803374179346	0.9728946393100605	0.9405465466432632	0.19509882617512478	0.20851884229409318	1230848.0	650.0	470.0	382.0	88.0	268.0	0.8127659574468086	0.5876923076923077	0.6821428571428572	0.8818349333551165	0.7127659574468085	0.5153846153846153	0.5982142857142856	6.0	0.9507692307692308	1.0	0.003076923076923077	0.052307692307692305	0.13829787234042554	546.0744680851063	WEIGHTED_MEAN
