idx	species	label	label_name	cluster	rep_name
0	mouse	1	SINE	1	B1_Mus2
1	mouse	4	DNA	0	URR1B
2	mouse	2	LINE	2	L1M2
3	mouse	4	DNA	2	Zaphod
4	mouse	3	LTR	1	RLTR13C1
5	mouse	3	LTR	3	MLT2B4
6	mouse	1	SINE	2	B3A
7	mouse	2	LINE	2	Lx7
8	mouse	3	LTR	1	MTE2a
9	mouse	3	LTR	3	MER77B
10	mouse	1	SINE	0	B4A
11	mouse	4	DNA	0	Tigger1
12	mouse	1	SINE	1	B1_Mus2
13	mouse	2	LINE	0	L1M5
14	mouse	2	LINE	2	L1_Rod
15	mouse	1	SINE	1	B1_Mus1
16	mouse	4	DNA	0	URR1B
17	mouse	3	LTR	3	RMER16-int
18	mouse	4	DNA	0	MER58B
19	mouse	1	SINE	1	B1_Mur4
20	mouse	1	SINE	1	B1_Mus1
21	mouse	3	LTR	3	RLTR13G
22	mouse	1	SINE	1	B4A
23	mouse	4	DNA	0	Charlie1
24	mouse	1	SINE	1	B1_Mm
25	mouse	3	LTR	3	MLT1A
26	mouse	1	SINE	1	B1F
27	mouse	3	LTR	3	ETnERV2-int
28	mouse	2	LINE	3	L1MdF_IV
29	mouse	1	SINE	1	B1_Mus1
30	mouse	4	DNA	0	MER5A1
31	mouse	3	LTR	3	RLTR45-int
32	mouse	4	DNA	0	MER20
33	mouse	3	LTR	3	RLTR4_MM-int
34	mouse	4	DNA	3	Tigger17a
35	mouse	1	SINE	1	RSINE1
36	mouse	4	DNA	0	MER58B
37	mouse	2	LINE	2	Lx2
38	mouse	4	DNA	0	MER2
39	mouse	4	DNA	0	Charlie4a
40	mouse	3	LTR	3	RLTR13A1
41	mouse	1	SINE	1	B3
42	mouse	2	LINE	2	Lx3A
43	mouse	1	SINE	1	B1_Mur3
44	mouse	1	SINE	1	B1_Mus1
45	mouse	3	LTR	3	ERVB7_1-LTR_MM
46	mouse	4	DNA	0	MER2
47	mouse	2	LINE	2	Lx8
48	mouse	1	SINE	1	B3
49	mouse	2	LINE	2	L1MdF_V
50	mouse	4	DNA	0	MER119
51	mouse	3	LTR	3	MMETn-int
52	mouse	2	LINE	2	Lx3A
53	mouse	2	LINE	2	L1MB4
54	mouse	1	SINE	1	B3A
55	mouse	1	SINE	1	B4A
56	mouse	4	DNA	0	Charlie13a
57	mouse	1	SINE	1	MIRb
58	mouse	3	LTR	3	RLTR13D4
59	mouse	3	LTR	3	RMER16-int
60	mouse	4	DNA	0	Tigger9b
61	mouse	4	DNA	0	Arthur1
62	mouse	4	DNA	0	URR1B
63	mouse	2	LINE	3	Lx3A
64	mouse	3	LTR	2	RLTR4_MM-int
65	mouse	3	LTR	3	ERVB7_1-LTR_MM
66	mouse	4	DNA	0	URR1B
67	mouse	1	SINE	1	RSINE1
68	mouse	3	LTR	3	ORR1B1
69	mouse	1	SINE	1	B4A
70	mouse	2	LINE	2	Lx
71	mouse	3	LTR	3	MTEb
72	mouse	2	LINE	2	L1MdF_III
73	mouse	3	LTR	3	IAPEy-int
74	mouse	1	SINE	1	B3
75	mouse	2	LINE	2	L1MB4
76	mouse	4	DNA	0	MER2
77	mouse	3	LTR	3	RLTR9D2
78	mouse	3	LTR	3	MLT1D
79	mouse	1	SINE	1	B3
80	mouse	1	SINE	3	B3A
81	mouse	3	LTR	3	MLT1B
82	mouse	3	LTR	3	RLTR9A3
83	mouse	4	DNA	0	Tigger17a
84	mouse	1	SINE	1	ID_B1
85	mouse	3	LTR	3	ETnERV2-int
86	mouse	4	DNA	0	Tigger17c
87	mouse	3	LTR	3	ORR1F
88	mouse	2	LINE	2	L1MdV_I
89	mouse	1	SINE	1	MIRb
90	mouse	3	LTR	3	MT2_Mm
91	mouse	1	SINE	1	B4
92	mouse	3	LTR	3	ERVB4_1B-I_MM
93	mouse	2	LINE	2	L1MdV_I
94	mouse	3	LTR	3	MT2_Mm
95	mouse	4	DNA	3	Tigger6a
96	mouse	3	LTR	3	MTE2a
97	mouse	1	SINE	1	MIR
98	mouse	4	DNA	0	URR1A
99	mouse	3	LTR	3	IAPEY2_LTR
100	mouse	2	LINE	2	Lx8
101	mouse	2	LINE	2	L1_Mur1
102	mouse	3	LTR	3	MT2C_Mm
103	mouse	1	SINE	1	B2_Mm2
104	mouse	2	LINE	2	L1MB4
105	mouse	3	LTR	2	MTB
106	mouse	2	LINE	2	L1MB4
107	mouse	1	SINE	1	RSINE1
108	mouse	4	DNA	0	Tigger6a
109	mouse	1	SINE	1	MIR
110	mouse	2	LINE	2	Lx8
111	mouse	2	LINE	3	L1MdFanc_I
112	mouse	3	LTR	3	ORR1E
113	mouse	2	LINE	2	Lx5b
114	mouse	1	SINE	1	B3
115	mouse	4	DNA	3	MER5A1
116	mouse	4	DNA	0	Tigger9a
117	mouse	4	DNA	0	URR1B
118	mouse	1	SINE	1	B1_Mus1
119	mouse	4	DNA	0	MER33
120	mouse	3	LTR	3	RLTR14
